Gonzaga, ,-,-,-,-
Syracuse, Baylor, 48.34,51.66,47.21,52.79
Marquette, Murray St., 59.34,40.66,20.53,79.47
Florida St., Vermont, 80.84,19.16,7.33,92.67
Buffalo, ,-,-,-,-
Texas Tech, Northern Kentucky, 85.41,14.59,5.33,94.67
Nevada, Florida, 39.61,60.39,46.91,53.09
Michigan, Montana, 89.70,10.30,3.43,96.57
, ,-,-,-,-
Duke, ,-,-,-,-
VCU, UCF, 38.21,61.79,48.34,51.66
Mississippi St., Liberty, 68.86,31.14,14.51,85.49
Virginia Tech, Saint Louis, 81.70,18.30,7.32,92.68
Maryland, ,-,-,-,-
LSU, Yale, 76.97,23.03,9.58,90.42
Louisville, Minnesota, 48.34,51.66,32.89,67.11
Michigan St., Bradley, 94.73,5.27,1.55,98.45
, ,-,-,-,-
Virginia, Gardner Webb, 95.49,4.51,1.25,98.75
Mississippi, Oklahoma, 28.79,71.21,49.68,50.32
Wisconsin, Oregon, 62.48,37.52,19.46,80.54
Kansas St., UC Irvine, 75.16,24.84,10.94,89.06
Villanova, Mount St. Mary's, 96.32,3.68,1.00,99.00
Purdue, Old Dominion, 84.76,15.24,5.70,94.30
Cincinnati, Iowa, 41.85,58.15,46.87,53.13
Tennessee, Colgate, 90.46,9.54,3.03,96.97
, ,-,-,-,-
North Carolina, Iona, 97.33,2.67,0.63,99.37
Utah St., Washington, 42.05,57.95,41.92,58.08
Auburn, New Mexico St., 64.04,35.96,18.06,81.94
Kansas, Northeastern, 84.56,15.44,5.37,94.63
Iowa St., Ohio St., 48.34,51.66,35.00,65.00
Houston, Georgia St., 69.67,30.33,14.42,85.58
Wofford, Seton Hall, 48.34,51.66,33.59,66.41
Kentucky, Abilene Christian, 94.60,5.40,1.53,98.47
