, ,-,-,-,-
Duke,  North Dakota St., 97.73,2.27,5.58,94.42, Duke
VCU, UCF, 49.22,50.78,64.55,35.45, UCF
Mississippi St., Liberty, 84.84,15.16,29.79,70.21, Mississippi St.
Virginia Tech, Saint Louis, 91.44,8.56,17.95,82.05, Virginia Tech
Maryland,  Belmont, 82.26,17.74,28.83,71.17, Maryland
LSU, Yale, 87.99,12.01,29.83,70.17, LSU
Louisville, Minnesota, 69.60,30.40,49.22,50.78, Minnesota
Michigan St., Bradley, 97.27,2.73,7.33,92.67, Michigan St.
, ,-,-,-,-
Gonzaga,  Fairleigh Dickinson, 97.33,2.67,5.87,94.13, Gonzaga
Syracuse, Baylor, 56.93,43.07,49.22,50.78, Baylor
Marquette, Murray St., 79.26,20.74,35.59,64.41, Murray St.
Florida St., Vermont, 89.90,10.10,26.58,73.42, Florida St.
Buffalo,  St. John's, 72.43,27.57,39.88,60.12, Buffalo
Texas Tech, Northern Kentucky, 96.16,3.84,14.03,85.97, Texas Tech
Nevada, Florida, 52.67,47.33,58.60,41.40, Nevada
Michigan, Montana, 96.31,3.69,10.22,89.78, Michigan
, ,-,-,-,-
Virginia, Gardner Webb, 97.94,2.06,6.12,93.88, Virginia
Mississippi, Oklahoma, 44.73,55.27,71.54,28.46, Oklahoma
Wisconsin, Oregon, 82.23,17.77,31.65,68.35, Wisconsin
Kansas St., UC Irvine, 87.54,12.46,23.42,76.58, Kansas St.
Villanova, Mount St. Mary's, 97.47,2.53,7.51,92.49, Villanova
Purdue, Old Dominion, 95.36,4.64,14.80,85.20, Purdue
Cincinnati, Iowa, 52.01,47.99,58.57,41.43, Iowa
Tennessee, Colgate, 95.72,4.28,10.50,89.50, Colgate
, ,-,-,-,-
North Carolina, Iona, 96.87,3.13,8.04,91.96, North Carolina
Utah St., Washington, 55.83,44.17,55.26,44.74, Utah St.
Auburn, New Mexico St., 82.86,17.14,35.34,64.66, New Mexico St.
Kansas, Northeastern, 95.90,4.10,13.94,86.06, Northeastern
Iowa St., Ohio St., 70.38,29.62,42.82,57.18, Iowa St.
Houston, Georgia St., 87.92,12.08,22.99,77.01, Georgia St.
Wofford, Seton Hall, 63.20,36.80,44.29,55.71, Wofford
Kentucky, Abilene Christian, 97.94,2.06,6.76,93.24, Kentucky
, ,-,-,-,-
