Duke, UCF, 92.14,7.86,9.60,90.40
Mississippi St., Virginia Tech, 45.46,54.54,55.47,44.53
Maryland, LSU, 36.84,63.16,59.59,40.41
Minnesota, Michigan St., 14.72,85.28,85.55,14.45
, ,-,-,-,-
Gonzaga, Syracuse, 73.90,26.10,23.01,76.99
Marquette, Florida St., 29.29,70.71,66.29,33.71
Buffalo, Texas Tech, 45.60,54.40,53.90,46.10
Nevada, Michigan, 23.10,76.90,73.87,26.13
, ,-,-,-,-
Virginia, Oklahoma, 88.02,11.98,11.55,88.45
Wisconsin, Kansas St., 46.66,53.34,49.36,50.64
Villanova, Purdue, 38.77,61.23,61.56,38.44
Cincinnati, Tennessee, 21.41,78.59,76.10,23.90
, ,-,-,-,-
North Carolina, Washington, 84.42,15.58,15.70,84.30
Auburn, Kansas, 45.32,54.68,53.20,46.80
Iowa St., Houston, 36.10,63.90,65.52,34.48
Wofford, Kentucky, 23.44,76.56,75.44,24.56
