opponent, outcome, home/away, team1
UNC Greensboro, W, H,Duke
Coastal Carolina, W, H,Duke
Charlotte, W, H,Duke
Radford, W, H,Duke
Arizona St., W, N,Duke
Connecticut, W, N,Duke
Wisconsin, L, A,Duke
St. John's, W, H,Duke
Gardner Webb, W, H,Duke
Gonzaga, W, N,Duke
Long Beach St., W, H,Duke
Penn, W, H,Duke
Clemson, W, H,Duke
Iowa St., W, N,Duke
Georgia Tech, L, A,Duke
Boston College, W, H,Duke
Wake Forest, W, H,Duke
North Carolina St., L, A,Duke
Clemson, W, A,Duke
Florida St., W, H,Duke
Georgetown, L, A,Duke
Georgia Tech, W, H,Duke
Boston College, W, A,Duke
North Carolina, W, A,Duke
Maryland, W, H,Duke
Miami FL, W, A,Duke
Virginia Tech, W, H,Duke
Tulsa, W, H,Duke
Virginia, W, A,Duke
Maryland, L, A,Duke
North Carolina, W, H,Duke
Virginia, W, N,Duke
Miami FL, W, N,Duke
Georgia Tech, W, N,Duke
Arkansas Pine Bluff, W, N,Duke
California, W, N,Duke
Purdue, W, N,Duke
Baylor, W, N,Duke
West Virginia, W, N,Duke
Butler, W, N,Duke
Hofstra, W, H,Kansas
Memphis, W, N,Kansas
Central Arkansas, W, H,Kansas
Oakland, W, H,Kansas
Tennessee Tech, W, H,Kansas
Alcorn St., W, H,Kansas
UCLA, W, A,Kansas
Radford, W, H,Kansas
La Salle, W, H,Kansas
Michigan, W, H,Kansas
California, W, H,Kansas
Belmont, W, H,Kansas
Temple, W, A,Kansas
Cornell, W, H,Kansas
Tennessee, L, A,Kansas
Nebraska, W, A,Kansas
Texas Tech, W, H,Kansas
Baylor, W, H,Kansas
Iowa St., W, A,Kansas
Missouri, W, H,Kansas
Kansas St., W, A,Kansas
Colorado, W, A,Kansas
Nebraska, W, H,Kansas
Texas, W, A,Kansas
Iowa St., W, H,Kansas
Texas A&M, W, A,Kansas
Colorado, W, H,Kansas
Oklahoma, W, H,Kansas
Oklahoma St., L, A,Kansas
Kansas St., W, H,Kansas
Missouri, W, A,Kansas
Texas Tech, W, H,Kansas
Texas A&M, W, H,Kansas
Kansas St., W, N,Kansas
Lehigh, W, N,Kansas
Northern Iowa, L, N,Kansas
Albany, W, H,Syracuse
Robert Morris, W, H,Syracuse
California, W, H,Syracuse
North Carolina, W, N,Syracuse
Cornell, W, H,Syracuse
Columbia, W, H,Syracuse
Colgate, W, H,Syracuse
Maine, W, H,Syracuse
Florida, W, A,Syracuse
St. Francis NY, W, H,Syracuse
St. Bonaventure, W, H,Syracuse
Oakland, W, H,Syracuse
Seton Hall, W, A,Syracuse
Pittsburgh, L, H,Syracuse
Memphis, W, H,Syracuse
South Florida, W, H,Syracuse
Rutgers, W, A,Syracuse
West Virginia, W, A,Syracuse
Notre Dame, W, A,Syracuse
Marquette, W, H,Syracuse
Georgetown, W, H,Syracuse
DePaul, W, A,Syracuse
Providence, W, H,Syracuse
Cincinnati, W, A,Syracuse
Connecticut, W, H,Syracuse
Louisville, L, H,Syracuse
Georgetown, W, A,Syracuse
Providence, W, A,Syracuse
Villanova, W, H,Syracuse
St. John's, W, H,Syracuse
Louisville, L, A,Syracuse
Georgetown, L, N,Syracuse
Vermont, W, N,Syracuse
Gonzaga, W, N,Syracuse
Butler, L, N,Syracuse
Morehead St., W, H,Kentucky
Miami OH, W, H,Kentucky
Sam Houston St., W, H,Kentucky
Rider, W, H,Kentucky
Cleveland St., W, N,Kentucky
Stanford, W, N,Kentucky
UNC Asheville, W, H,Kentucky
North Carolina, W, H,Kentucky
Connecticut, W, N,Kentucky
Indiana, W, A,Kentucky
Austin Peay, W, H,Kentucky
Drexel, W, H,Kentucky
Long Beach St., W, H,Kentucky
Hartford, W, H,Kentucky
Louisville, W, H,Kentucky
Georgia, W, H,Kentucky
Florida, W, A,Kentucky
Auburn, W, A,Kentucky
Arkansas, W, H,Kentucky
South Carolina, L, A,Kentucky
Vanderbilt, W, H,Kentucky
Mississippi, W, H,Kentucky
LSU, W, A,Kentucky
Alabama, W, H,Kentucky
Tennessee, W, H,Kentucky
Mississippi St., W, A,Kentucky
Vanderbilt, W, A,Kentucky
South Carolina, W, H,Kentucky
Tennessee, L, A,Kentucky
Georgia, W, A,Kentucky
Florida, W, H,Kentucky
Alabama, W, N,Kentucky
Tennessee, W, N,Kentucky
Mississippi St., W, N,Kentucky
East Tennessee St., W, N,Kentucky
Wake Forest, W, N,Kentucky
Cornell, W, N,Kentucky
West Virginia, L, N,Kentucky
Loyola MD, W, H,West Virginia
The Citadel, W, H,West Virginia
Long Beach St., W, A,West Virginia
Texas A&M, W, N,West Virginia
Portland, W, N,West Virginia
Duquesne, W, H,West Virginia
Coppin St., W, H,West Virginia
Cleveland St., W, A,West Virginia
Mississippi, W, H,West Virginia
Seton Hall, W, A,West Virginia
Marquette, W, H,West Virginia
Purdue, L, A,West Virginia
Rutgers, W, H,West Virginia
Notre Dame, L, A,West Virginia
South Florida, W, A,West Virginia
Syracuse, L, H,West Virginia
Marshall, W, N,West Virginia
Ohio St., W, H,West Virginia
DePaul, W, A,West Virginia
Louisville, W, H,West Virginia
Pittsburgh, W, H,West Virginia
St. John's, W, A,West Virginia
Villanova, L, H,West Virginia
Pittsburgh, L, A,West Virginia
Providence, W, A,West Virginia
Seton Hall, W, H,West Virginia
Connecticut, L, A,West Virginia
Cincinnati, W, H,West Virginia
Georgetown, W, H,West Virginia
Villanova, W, A,West Virginia
Cincinnati, W, N,West Virginia
Notre Dame, W, N,West Virginia
Georgetown, W, N,West Virginia
Morgan St., W, N,West Virginia
Missouri, W, N,West Virginia
Washington, W, N,West Virginia
Kentucky, W, N,West Virginia
Duke, L, N,West Virginia
Loyola Chicago, W, H,Kansas St.
