opponent, outcome, home/away, tourn, team1
Towson, W, H, 0,Virginia
George Washington, W, H, 0,Virginia
Coppin St., W, H, 0,Virginia
Middle Tennessee, W, N, 0,Virginia
Dayton, W, N, 0,Virginia
Wisconsin, W, N, 0,Virginia
Maryland, W, A, 0,Virginia
Morgan St., W, H, 0,Virginia
VCU, W, H, 0,Virginia
South Carolina, W, A, 0,Virginia
William & Mary, W, H, 0,Virginia
Marshall, W, H, 0,Virginia
Florida St., W, H, 0,Virginia
Boston College, W, A, 0,Virginia
Clemson, W, A, 0,Virginia
Virginia Tech, W, H, 0,Virginia
Duke, L, A, 0,Virginia
Wake Forest, W, H, 0,Virginia
Notre Dame, W, A, 0,Virginia
North Carolina St., W, A, 0,Virginia
Miami FL, W, H, 0,Virginia
Duke, L, H, 0,Virginia
North Carolina, W, A, 0,Virginia
Notre Dame, W, H, 0,Virginia
Virginia Tech, W, A, 0,Virginia
Louisville, W, A, 0,Virginia
Georgia Tech, W, H, 0,Virginia
Pittsburgh, W, H, 0,Virginia
Syracuse, W, A, 0,Virginia
Louisville, W, H, 0,Virginia
North Carolina St., W, N, 1,Virginia
Florida St., L, N, 1,Virginia
Gardner Webb, W, N, 2,Virginia
Idaho St., W, H, 0,Gonzaga
Texas Southern, W, H, 0,Gonzaga
Texas A&M, W, H, 0,Gonzaga
Illinois, W, N, 0,Gonzaga
Arizona, W, N, 0,Gonzaga
Duke, W, N, 0,Gonzaga
North Dakota St., W, H, 0,Gonzaga
Creighton, W, A, 0,Gonzaga
Washington, W, H, 0,Gonzaga
Tennessee, L, N, 0,Gonzaga
North Carolina, L, A, 0,Gonzaga
UT Arlington, W, H, 0,Gonzaga
Denver, W, H, 0,Gonzaga
North Alabama, W, H, 0,Gonzaga
Cal St. Bakersfield, W, H, 0,Gonzaga
Santa Clara, W, H, 0,Gonzaga
Pacific, W, H, 0,Gonzaga
San Francisco, W, A, 0,Gonzaga
Loyola Marymount, W, H, 0,Gonzaga
Portland, W, A, 0,Gonzaga
Santa Clara, W, A, 0,Gonzaga
BYU, W, A, 0,Gonzaga
San Diego, W, H, 0,Gonzaga
San Francisco, W, H, 0,Gonzaga
Saint Mary's, W, H, 0,Gonzaga
Loyola Marymount, W, A, 0,Gonzaga
San Diego, W, A, 0,Gonzaga
Pepperdine, W, H, 0,Gonzaga
BYU, W, H, 0,Gonzaga
Pacific, W, A, 0,Gonzaga
Saint Mary's, W, A, 0,Gonzaga
Pepperdine, W, N, 1,Gonzaga
Saint Mary's, L, N, 1,Gonzaga
Fairleigh Dickinson, W, N, 2,Gonzaga
Kentucky, W, N, 0,Duke
Army, W, H, 0,Duke
Eastern Michigan, W, H, 0,Duke
San Diego St., W, N, 0,Duke
Auburn, W, N, 0,Duke
Gonzaga, L, N, 0,Duke
Indiana, W, H, 0,Duke
Stetson, W, H, 0,Duke
Hartford, W, H, 0,Duke
Yale, W, H, 0,Duke
Princeton, W, H, 0,Duke
Texas Tech, W, N, 0,Duke
Clemson, W, H, 0,Duke
Wake Forest, W, A, 0,Duke
Florida St., W, A, 0,Duke
Syracuse, L, H, 0,Duke
Virginia, W, H, 0,Duke
Pittsburgh, W, A, 0,Duke
Georgia Tech, W, H, 0,Duke
Notre Dame, W, A, 0,Duke
St. John's, W, H, 0,Duke
Boston College, W, H, 0,Duke
Virginia, W, A, 0,Duke
Louisville, W, A, 0,Duke
North Carolina St., W, H, 0,Duke
North Carolina, L, H, 0,Duke
Syracuse, W, A, 0,Duke
Virginia Tech, L, A, 0,Duke
Miami FL, W, H, 0,Duke
Wake Forest, W, H, 0,Duke
North Carolina, L, A, 0,Duke
Syracuse, W, N, 1,Duke
North Carolina, W, N, 1,Duke
Florida St., W, N, 1,Duke
North Dakota St., W, N, 2,Duke
Kansas, L, N, 0,Michigan St.
Florida Gulf Coast, W, H, 0,Michigan St.
Louisiana Monroe, W, H, 0,Michigan St.
Tennessee Tech, W, H, 0,Michigan St.
UCLA, W, N, 0,Michigan St.
Texas, W, N, 0,Michigan St.
Louisville, L, A, 0,Michigan St.
Rutgers, W, A, 0,Michigan St.
Iowa, W, H, 0,Michigan St.
Florida, W, A, 0,Michigan St.
Green Bay, W, H, 0,Michigan St.
Oakland, W, H, 0,Michigan St.
Northern Illinois, W, H, 0,Michigan St.
Northwestern, W, H, 0,Michigan St.
Ohio St., W, A, 0,Michigan St.
Purdue, W, H, 0,Michigan St.
Penn St., W, A, 0,Michigan St.
