rank,name,conf,win_loss,adjEM,adjO,adjD,adjT,luck,adjEM,oppO,oppD,noncon_adjEM,misc,
1, Kentucky, SEC, 38-1, +8.58, 121.3, 84.4, 62.4, +.048, +8.58, 108.7, 100.1, +3.13, 72.0^74.2^15.3^17.1^119.1^113.8^91.4^96.0^72.0^119.1^52.9^15.7^33.5^40.9^91.4^47.5^19.2^27.7^33.5^35.3^52.9^70.3^7.7^6.4^51.6^31.6^119.1^35.3^52.9^70.3^7.7^6.4^51.6^31.6^119.1^21.4^53.8^24.8^19.3^54.8^26.0^119.1^91.4^72.0^+.006^+10.98^110.5^99.5^+3.74
2, Wisconsin, B10, 36-4, +11.03, 129.0, 95.2, 58.7, +.015, +11.03, 109.8, 98.8, +5.30, 63.4^64.4^19.9^17.4^115.1^110.9^92.1^95.5^63.4^115.1^52.1^17.0^35.8^32.9^92.1^47.5^19.5^25.8^28.0^35.9^51.1^64.4^8.5^8.2^51.8^36.9^115.1^35.9^51.1^64.4^8.5^8.2^51.8^36.9^115.1^16.9^51.4^31.7^17.9^49.5^32.6^115.1^92.1^63.4^-.003^+10.00^110.6^100.6^-1.29
3, Duke, ACC, 35-4, +11.17, 124.5, 92.0, 65.8, +.067, +11.17, 110.7, 99.5, +1.31, 68.3^69.8^17.1^17.3^121.0^115.7^96.8^100.7^68.3^121.0^54.8^16.3^31.7^39.3^96.8^47.4^17.3^29.8^31.2^37.9^53.5^76.2^6.8^6.8^47.5^38.3^121.0^37.9^53.5^76.2^6.8^6.8^47.5^38.3^121.0^21.5^47.3^31.2^18.9^59.5^21.6^121.0^96.8^68.3^+.014^+11.43^111.0^99.6^+0.03
4, Arizona, P12, 34-4, +7.37, 119.9, 87.5, 65.8, -.033, +7.37, 108.3, 100.9, +0.09, 66.0^67.2^18.6^17.1^118.4^113.7^95.1^98.2^66.0^118.4^53.7^16.6^33.3^40.5^95.1^47.7^17.4^26.0^28.6^39.0^51.5^76.5^7.7^7.0^51.3^30.5^118.4^39.0^51.5^76.5^7.7^7.0^51.3^30.5^118.4^22.4^51.7^25.8^17.0^53.6^29.4^118.4^95.1^66.0^+.046^+7.13^108.7^101.5^+1.69
5, Villanova, BE, 33-3, +7.67, 122.7, 92.0, 64.2, +.031, +7.67, 108.2, 100.6, +0.23, 64.1^65.5^18.8^17.9^122.4^117.7^92.5^96.0^64.1^122.4^57.5^17.0^30.2^35.0^92.5^48.1^20.1^27.8^22.1^36.9^59.2^79.0^6.6^7.8^52.3^43.3^122.4^36.9^59.2^79.0^6.6^7.8^52.3^43.3^122.4^19.4^47.1^33.6^13.9^52.7^33.4^122.4^92.5^64.1^+.010^+9.33^109.8^100.5^+3.55
6, Virginia, ACC, 30-4, +8.21, 115.6, 85.5, 58.0, +.023, +8.21, 108.5, 100.3, +0.46, 59.2^60.3^21.3^18.3^112.2^108.0^88.0^92.1^59.2^112.2^52.4^15.6^28.3^26.0^88.0^46.1^20.7^24.5^33.8^38.5^49.7^70.9^7.5^8.1^56.4^33.0^112.2^38.5^49.7^70.9^7.5^8.1^56.4^33.0^112.2^15.0^54.1^31.0^20.4^46.9^32.7^112.2^88.0^59.2^-.030^+11.68^111.5^99.8^+2.29
7, Gonzaga, WCC, 35-3, +4.37, 121.7, 93.9, 64.7, +.018, +4.37, 107.3, 102.9, +3.00, 70.1^70.8^15.9^18.1^118.4^116.7^86.3^86.8^70.1^118.4^56.6^16.2^30.0^39.0^86.3^41.1^17.1^26.2^26.9^38.2^56.3^71.7^7.8^7.6^51.8^32.8^118.4^38.2^56.3^71.7^7.8^7.6^51.8^32.8^118.4^19.8^53.6^26.6^17.7^54.4^27.9^118.4^86.3^70.1^+.020^+2.99^106.2^103.3^+1.01
8, Utah, P12, 26-9, +8.19, 116.4, 89.2, 60.5, -.054, +8.19, 108.8, 100.6, +0.60, 68.7^69.7^17.6^16.8^113.5^110.7^99.3^99.2^68.7^113.5^56.2^19.2^30.9^33.1^99.3^49.1^17.0^24.5^31.2^36.0^57.4^67.9^8.3^9.2^51.1^32.3^113.5^36.0^57.4^67.9^8.3^9.2^51.1^32.3^113.5^16.7^57.5^25.8^17.8^52.1^30.1^113.5^99.3^68.7^-.099^+3.36^106.0^102.7^-6.19
9, Notre Dame, ACC, 32-6, +7.59, 125.4, 100.4, 63.4, +.062, +7.59, 107.7, 100.1, -11.62, 67.0^67.7^18.6^16.9^118.1^113.7^98.4^102.1^67.0^118.1^53.6^14.0^27.3^28.6^98.4^49.1^18.7^30.8^26.7^38.4^50.9^80.0^11.4^7.7^57.8^40.6^118.1^38.4^50.9^80.0^11.4^7.7^57.8^40.6^118.1^17.6^46.4^36.0^16.7^53.3^30.0^118.1^98.4^67.0^+.024^+10.24^110.1^99.8^-3.85
10, North Carolina, ACC, 26-12, +12.76, 119.1, 95.3, 69.2, -.026, +12.76, 111.1, 98.3, +7.64, 71.3^72.4^15.4^17.7^120.7^115.4^92.5^97.7^71.3^120.7^51.7^16.2^41.3^34.3^92.5^48.1^18.6^25.0^31.6^35.5^51.0^70.2^9.8^8.6^59.2^30.3^120.7^35.5^51.0^70.2^9.8^8.6^59.2^30.3^120.7^18.9^55.8^25.3^19.3^47.2^33.6^120.7^92.5^71.3^+.037^+12.49^112.0^99.5^+3.87
11, Oklahoma, B12, 24-11, +11.00, 112.5, 89.7, 66.7, -.045, +11.00, 110.2, 99.2, +1.05, 70.0^71.1^16.3^17.4^107.4^100.3^95.9^102.7^70.0^107.4^47.4^19.0^30.8^36.7^95.9^50.0^18.5^29.8^33.5^34.3^45.7^72.1^10.7^9.7^41.8^30.0^107.4^34.3^45.7^72.1^10.7^9.7^41.8^30.0^107.4^21.8^52.7^25.5^18.6^47.6^33.8^107.4^95.9^70.0^-.102^+14.13^112.5^98.3^+1.16
12, Kansas, B12, 27-9, +13.17, 114.5, 91.8, 67.0, +.070, +13.17, 110.6, 97.4, +9.57, 70.2^71.2^15.9^17.7^121.9^115.6^94.5^99.8^70.2^121.9^56.1^17.6^34.1^36.0^94.5^48.1^18.6^29.7^30.0^40.4^53.6^67.8^9.4^9.4^54.5^35.9^121.9^40.4^53.6^67.8^9.4^9.4^54.5^35.9^121.9^17.9^50.3^31.9^18.2^50.7^31.1^121.9^94.5^70.2^+.067^+12.43^111.2^98.8^+2.39
13, Wichita St., MVC, 30-5, +3.24, 115.8, 93.6, 62.3, +.022, +3.24, 105.5, 102.3, +3.44, 68.0^69.3^17.1^17.4^118.7^116.6^92.6^90.5^68.0^118.7^54.1^16.3^34.3^40.3^92.6^43.8^19.4^24.2^35.2^40.2^50.5^73.3^9.1^7.5^58.9^36.6^118.7^40.2^50.5^73.3^9.1^7.5^58.9^36.6^118.7^21.5^46.5^32.0^21.8^46.0^32.2^118.7^92.6^68.0^-.021^+1.50^105.0^103.5^-0.32
14, Baylor, B12, 24-10, +10.22, 116.6, 94.5, 61.5, -.035, +10.22, 108.9, 98.7, -0.51, 63.7^65.1^18.6^18.4^117.1^110.6^92.9^98.4^63.7^117.1^52.4^20.6^39.8^33.8^92.9^46.1^17.2^29.4^30.1^35.3^52.2^71.9^9.6^8.2^59.3^32.8^117.1^35.3^52.2^71.9^9.6^8.2^59.3^32.8^117.1^18.8^54.3^26.9^19.1^51.5^29.4^117.1^92.9^63.7^+.023^+13.08^111.7^98.6^+1.67
15, Michigan St., B10, 27-12, +10.49, 116.6, 94.9, 63.1, -.017, +10.49, 110.3, 99.8, -0.88, 66.9^68.1^17.5^17.6^111.4^105.3^95.9^100.5^66.9^111.4^54.0^20.5^29.2^33.5^95.9^46.6^15.9^27.3^34.7^37.3^52.9^67.0^8.8^8.8^65.3^38.0^111.4^37.3^52.9^67.0^8.8^8.8^65.3^38.0^111.4^17.2^50.3^32.6^21.3^50.2^28.6^111.4^95.9^66.9^-.011^+10.99^110.6^99.6^+4.01
16, Iowa St., B12, 25-9, +10.59, 119.0, 97.5, 69.6, +.005, +10.59, 109.0, 98.5, -1.18, 68.4^70.6^16.4^17.7^119.7^112.4^96.3^101.3^68.4^119.7^55.0^14.1^25.7^27.6^96.3^49.0^19.5^31.6^25.6^40.0^51.8^70.0^9.1^6.6^53.6^39.3^119.7^40.0^51.8^70.0^9.1^6.6^53.6^39.3^119.7^15.0^48.6^36.5^15.5^52.4^32.0^119.7^96.3^68.4^-.019^+14.05^112.6^98.6^-0.74
17, Louisville, ACC, 27-9, +9.69, 110.2, 88.9, 64.6, +.027, +9.69, 109.5, 99.8, -2.36, 67.9^68.4^16.2^18.6^117.2^112.3^91.7^96.3^67.9^117.2^51.3^16.0^36.8^33.9^91.7^45.8^19.6^28.5^38.8^35.5^50.5^68.6^8.3^7.2^48.4^32.2^117.2^35.5^50.5^68.6^8.3^7.2^48.4^32.2^117.2^18.5^54.3^27.2^22.7^48.8^28.5^117.2^91.7^67.9^-.023^+11.14^111.6^100.5^+4.20
18, Northern Iowa, MVC, 31-4, +1.42, 116.3, 95.3, 58.2, +.018, +1.42, 104.4, 103.0, +0.61, 63.5^64.6^19.1^17.9^97.6^93.7^97.6^100.0^63.5^97.6^46.7^17.3^17.7^34.2^97.6^50.6^20.9^28.3^26.1^32.3^45.3^73.5^7.9^9.0^47.5^45.1^97.6^32.3^45.3^73.5^7.9^9.0^47.5^45.1^97.6^21.2^41.9^36.9^16.2^48.4^35.5^97.6^97.6^63.5^+.054^+4.51^107.2^102.7^+7.99
19, Ohio St., B10, 24-11, +6.76, 115.6, 94.8, 65.2, -.043, +6.76, 108.1, 101.4, -7.41, 68.0^68.7^16.8^18.1^111.2^105.6^101.0^101.2^68.0^111.2^52.2^19.2^29.7^38.1^101.0^48.9^17.5^28.8^29.4^35.6^51.6^68.2^8.2^7.2^52.5^33.1^111.2^35.6^51.6^68.2^8.2^7.2^52.5^33.1^111.2^19.9^52.9^27.2^16.7^46.0^37.4^111.2^101.0^68.0^-.054^+6.78^107.4^100.6^-4.55
20, Butler, BE, 23-11, +9.72, 110.2, 90.1, 63.2, -.023, +9.72, 110.6, 100.9, +0.69, 65.9^67.2^17.9^17.8^117.7^112.5^97.0^101.7^65.9^117.7^54.6^15.0^27.2^37.1^97.0^50.8^19.6^27.0^37.0^36.6^54.5^74.1^7.3^7.4^50.0^37.6^117.7^36.6^54.5^74.1^7.3^7.4^50.0^37.6^117.7^20.1^49.7^30.2^20.2^50.1^29.6^117.7^97.0^65.9^+.002^+10.81^110.8^100.0^+5.12
